seq	batch	kind	status	action	path	notes
240	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/core/__init__.py	第二十轮与第二十七轮复核：同步移除已失效导出 generate_manga_prompts，并继续移除 MangaStyle、CheckpointManager、ResultPersistence 的残留包级导出。
241	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/core/checkpoint_manager.py	已逐文件读取并完成首轮复核；py 文件 105 行，顶层符号 1，导入语句 4。
242	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/core/models.py	已逐文件读取并完成首轮复核；py 文件 18 行，顶层符号 1，导入语句 0。
243	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/core/page_layout_utils.py	已逐文件读取并完成首轮复核；py 文件 53 行，顶层符号 1，导入语句 2。
244	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/core/page_prompt_builder.py	第十六轮复核：移除零引用无效导入 List。
245	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/core/result_persistence.py	已逐文件读取并完成首轮复核；py 文件 128 行，顶层符号 1，导入语句 5。
246	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/core/service.py	第二十轮复核：移除零调用便捷函数 generate_manga_prompts()。
247	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/extraction/__init__.py	第二十七轮复核：移除 13 个失效包级枚举/数据类/提示词导出，仅保留内部真实入口 ChapterInfo、ChapterInfoExtractor。
248	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/extraction/chapter_info_extractor.py	第十六轮复核：移除零引用无效导入 CharacterRole、ImportanceLevel、EmotionType、EventType、PROMPT_NAME、EXTRACTION_SYSTEM_PROMPT，并删除零调用私有方法 _build_prompt()、_get_system_prompt()、_parse_chapter_info()。
249	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/extraction/models.py	已逐文件读取并完成首轮复核；py 文件 479 行，顶层符号 11，导入语句 3。
250	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/extraction/prompts.py	已逐文件读取并完成首轮复核；py 文件 459 行，顶层符号 0，导入语句 1。
251	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/planning/__init__.py	第二十七轮复核：移除失效包级提示词常量导出 PROMPT_NAME、PAGE_PLANNING_PROMPT、PLANNING_SYSTEM_PROMPT。
252	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/planning/models.py	已逐文件读取并完成首轮复核；py 文件 84 行，顶层符号 2，导入语句 2。
253	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/planning/page_planner.py	第十六轮复核：移除 _simple_plan() 的未使用私有参数 min_pages；TYPE_CHECKING 前向引用导入 PromptService、LLMService 复核后保留。
254	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/planning/prompts.py	已逐文件读取并完成首轮复核；py 文件 100 行，顶层符号 0，导入语句 1。
255	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/prompt_builder/__init__.py	第二十七轮复核：移除失效包级导出 PanelPrompt、PagePromptResult，保留内部真实入口 PagePrompt、MangaPromptResult、PromptBuilder、PagePromptGenerator。
256	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/prompt_builder/builder.py	已逐文件读取并完成首轮复核；py 文件 602 行，顶层符号 6，导入语句 5。
257	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/prompt_builder/models.py	已逐文件读取并完成首轮复核；py 文件 221 行，顶层符号 4，导入语句 3。
258	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/prompt_builder/page_prompt_generator.py	移除零引用常量 SHOT_TYPE_CHINESE。
259	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/prompts_shared.py	已逐文件读取并完成首轮复核；py 文件 16 行，顶层符号 0，导入语句 0。
260	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/storyboard/__init__.py	第二十七轮复核：移除失效包级提示词常量导出 PROMPT_NAME、STORYBOARD_DESIGN_PROMPT、STORYBOARD_SYSTEM_PROMPT。
261	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/storyboard/designer.py	第十六轮复核：移除零引用无效导入 DialogueBubble、PanelShape、ShotType、WidthRatio、AspectRatio；TYPE_CHECKING 前向引用导入 PromptService、LLMService 复核后保留。
262	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/manga_prompt/storyboard/models.py	第十六轮复核：移除零引用无效导入 Any。
263	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/manga_prompt/storyboard/prompts.py	已逐文件读取并完成首轮复核；py 文件 282 行，顶层符号 0，导入语句 0。
264	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/novel_rag/__init__.py	第四十四轮复核：仅保留 NovelDataType、NovelProjectIngestionService 与 5 个 trigger_*_ingestion 入口，移除其余 16 个零包级引用的历史导出。
265	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/novel_rag/auto_ingestion.py	第二十三轮复核：在第十七轮已删除 trigger_protagonist_ingestion() 的基础上，继续移除无外部调用的闭包绑定 trigger_async_ingestion。
266	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/novel_rag/chunk_strategy.py	第十七轮复核：移除零调用策略切换函数 set_novel_strategy_manager()、switch_novel_global_preset()。
267	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/novel_rag/content_splitter.py	已逐文件读取并完成首轮复核；py 文件 1051 行，顶层符号 3，导入语句 8。
268	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/novel_rag/data_types.py	已逐文件读取并完成首轮复核；py 文件 147 行，顶层符号 1，导入语句 2。
269	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/novel_rag/ingestion_service.py	第四十四轮复核：移除零模块级引用的 CompletenessReport 残留导入与 __all__ 导出。
270	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/novel_service.py	已逐文件读取并完成首轮复核；py 文件 529 行，顶层符号 1，导入语句 14。
271	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/part_outline/__init__.py	第二十六轮复核：移除父包层 8 个失效解析/工作流导出，仅保留真实入口 PartOutlineWorkflow、PartOutlineService。
272	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/part_outline/chapter_outline_workflow.py	第十六轮复核：移除零引用无效导入 log_exception。
273	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/part_outline/context_retriever.py	第十六轮复核：TYPE_CHECKING 前向引用导入 ChapterOutlineRepository、LLMService、VectorStoreService 仍服务于静态类型检查，判定保留。
274	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/part_outline/model_factory.py	已逐文件读取并完成首轮复核；py 文件 131 行，顶层符号 2，导入语句 3。
275	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/part_outline/parser.py	已逐文件读取并完成首轮复核；py 文件 259 行，顶层符号 2，导入语句 5。
276	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/part_outline/service.py	第十六轮复核：移除零引用无效导入 Any、Dict、TYPE_CHECKING、PartOutlineParser、PartOutlineModelFactory、ChapterOutlineWorkflow，并删除空 TYPE_CHECKING 分支；同步清理对已删除 get_part_outline_service() 的陈旧文档引用。
277	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/part_outline/workflow.py	第十六轮复核：TYPE_CHECKING 前向引用导入 AsyncSession 仍服务于静态类型检查，判定保留。
278	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/project_factory.py	第十一轮复核：移除零引用无效导入 Optional。
279	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/project_service_base.py	已逐文件读取并完成首轮复核；py 文件 103 行，顶层符号 1，导入语句 5。
280	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/prompt_builder.py	已逐文件读取并完成首轮复核；py 文件 259 行，顶层符号 1，导入语句 5。
281	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/prompt_service.py	第十一轮复核：移除零引用无效导入 Tuple、re。
282	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/protagonist_profile/__init__.py	已逐文件读取并完成首轮复核；py 文件 17 行，顶层符号 0，导入语句 5。
283	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/protagonist_profile/analysis_service.py	第十一轮复核：移除零引用无效导入 Optional。
284	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/protagonist_profile/deletion_protection.py	已逐文件读取并完成首轮复核；py 文件 198 行，顶层符号 1，导入语句 5。
285	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/protagonist_profile/implicit_tracker.py	第十一轮复核：移除零引用无效导入 Optional。
286	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/protagonist_profile/service.py	第十一轮复核：移除零引用无效导入 datetime。
287	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/protagonist_profile/sync_service.py	第十一轮复核：移除零引用无效导入 Any、Optional、json。
288	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/queue/__init__.py	第二十六轮复核：移除失效包级导出 RequestQueue，保留真实入口 LLMRequestQueue、ImageRequestQueue。
289	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/queue/base.py	第二十二轮复核：移除零调用测试辅助类方法 reset_instance()。
290	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/queue/image_queue.py	已逐文件读取并完成首轮复核；py 文件 20 行，顶层符号 1，导入语句 1。
291	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/queue/llm_queue.py	已逐文件读取并完成首轮复核；py 文件 20 行，顶层符号 1，导入语句 1。
292	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/__init__.py	第十七轮与第二十六轮复核：同步移除已失效包级导出 get_scene_extractor、format_chapter_reference、extract_involved_characters、truncate_text、build_outline_text。第四十六轮复核：仅保留 `EnhancedQueryBuilder`、`EnhancedQuery`、`TemporalAwareRetriever`、`SmartContextBuilder`、`GenerationContext`、`ContextCompressor`、`get_outline_rag_retriever` 7 个真实包级入口，移除 `BlueprintInfo`、`RAGContext`、`OutlineRAGRetriever`、`SceneState`、`SceneStateExtractor` 5 个零包级引用导出。
293	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/context_builder.py	移除零引用无效导入 CharacterState、ForeshadowingData；第十一轮继续移除零引用无效导入 build_outline_text。
294	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/context_compressor.py	移除零引用 AdaptiveCompressor；第十一轮继续移除零引用无效导入 re。
295	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag/outline_retriever.py	已逐文件读取并完成首轮复核；py 文件 209 行，顶层符号 2，导入语句 5。
296	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/query_builder.py	移除零引用 EntityAwareQueryEnhancer，并继续移除零引用无效导入 ForeshadowingItem。
297	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/scene_extractor.py	第十七轮复核：移除零调用模块级单例 _default_extractor 与工厂函数 get_scene_extractor()。
298	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/temporal_retriever.py	移除零引用 NearbyChapterPrioritizer；第十一轮继续移除零引用无效导入 Optional、field。
299	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag/utils.py	第十七轮复核：在已删除 format_rag_summary_line() 的基础上，继续删除零调用辅助函数 format_chapter_reference()。
300	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag_common/__init__.py	第二十五轮复核：在第十七轮已移除 get_semantic_chunker、set_semantic_chunker 的基础上，继续移除 run_ingestion_task、split_markdown_sections、build_chunk_config、clone_chunk_config、serialize_chunk_config 的失效导入/导出。第四十六轮复核：确认当前仓库无任何 `rag_common` 包级入口消费者，移除 `SemanticChunkConfig`、`ChunkResult`、`SemanticChunker`、`IngestionResult`、`TypeChangeDetail`、`CompletenessReport`、`BaseProjectIngestionService`、`BaseChunkStrategyManager` 8 个零包级引用导出并保留精简包入口。
301	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/auto_ingestion.py	已逐文件读取并完成首轮复核；py 文件 246 行，顶层符号 10，导入语句 4。
302	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/chunk_strategy_base.py	已逐文件读取并完成首轮复核；py 文件 188 行，顶层符号 4，导入语句 4。
303	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/content_splitter_utils.py	已逐文件读取并完成首轮复核；py 文件 472 行，顶层符号 16，导入语句 5。
304	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/data_type_mixin.py	已逐文件读取并完成首轮复核；py 文件 39 行，顶层符号 1，导入语句 2。
305	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag_common/ingestion_base.py	第十一轮复核：移除零引用无效导入 Sequence。
306	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/markdown_split_mixin.py	已逐文件读取并完成首轮复核；py 文件 38 行，顶层符号 1，导入语句 3。
307	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/markdown_splitter.py	已逐文件读取并完成首轮复核；py 文件 74 行，顶层符号 1，导入语句 2。
308	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/semantic_chunk_config_mixin.py	已逐文件读取并完成首轮复核；py 文件 31 行，顶层符号 1，导入语句 1。
309	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/rag_common/semantic_chunker.py	第十七轮复核：在已移除无效导入 math 的基础上，继续删除零调用模块级单例 _default_chunker 与工厂函数 get_semantic_chunker()、set_semantic_chunker()。
310	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/rag_common/text_split_utils.py	已逐文件读取并完成首轮复核；py 文件 13 行，顶层符号 1，导入语句 1。
311	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/scene_descriptor.py	已逐文件读取并完成首轮复核；py 文件 102 行，顶层符号 3，导入语句 2。
312	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/summary_service.py	第十六轮复核：TYPE_CHECKING 前向引用导入 Chapter、ChapterOutlineRepository、LLMService 仍服务于静态类型检查，判定保留。
313	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/theme_config_service.py	第十六轮复核：移除零引用无效导入 Any、LIGHT_THEME_DEFAULTS、DARK_THEME_DEFAULTS、LIGHT_THEME_V2_DEFAULTS、DARK_THEME_V2_DEFAULTS。
314	backend	code	reviewed-dead-code-cleaned	edited	backend/app/services/theme_defaults/__init__.py	第三十八轮复核：仅保留 get_theme_defaults、get_theme_v2_defaults，移除四个零包级引用的主题默认值常量导出。
315	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/theme_defaults/utils.py	已逐文件读取并完成首轮复核；py 文件 35 行，顶层符号 2，导入语句 3。
316	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/theme_defaults/v1_defaults.py	已逐文件读取并完成首轮复核；py 文件 226 行，顶层符号 0，导入语句 1。
317	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/theme_defaults/v2_defaults.py	已逐文件读取并完成首轮复核；py 文件 513 行，顶层符号 0，导入语句 1。
318	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/vector_store_service.py	已逐文件读取并完成首轮复核；py 文件 1184 行，顶层符号 3，导入语句 10。
319	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/services/workflow_base.py	已逐文件读取并完成首轮复核；py 文件 39 行，顶层符号 1，导入语句 3。
320	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/__init__.py	已逐文件读取并完成首轮复核；py 文件 0 行，顶层符号 0，导入语句 0。
321	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/api_format_utils.py	已逐文件读取并完成首轮复核；py 文件 134 行，顶层符号 7，导入语句 4。二轮复核：build_openai_image_generations_endpoint() 由 image_generation/providers/openai_compatible.py 使用，保留。
322	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/blueprint_utils.py	移除零引用蓝图辅助函数 extract_blueprint_characters()、extract_world_setting()、extract_full_synopsis()、build_blueprint_info_dict()；第十一轮继续移除零引用无效导入 List、Optional。
323	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/config_import_utils.py	已逐文件读取并完成首轮复核；py 文件 139 行，顶层符号 5，导入语句 4。
324	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/content_fields.py	已逐文件读取并完成首轮复核；py 文件 25 行，顶层符号 0，导入语句 1。
325	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/content_normalizer.py	第十一轮复核：移除零引用无效导入 re。第十六轮复核：移除零调用函数 normalize_version_content()、_coerce_text()、_clean_string()，以及随之失效的 logger、_PREFERRED_CONTENT_KEYS 和相关导入。
326	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/encryption.py	已逐文件读取并完成首轮复核；py 文件 86 行，顶层符号 3，导入语句 5。
327	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/exception_helpers.py	移除零引用异常辅助 convert_to_http_exception()、ExceptionContext、format_exception_chain()。
328	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/field_mapping.py	已逐文件读取并完成首轮复核；py 文件 50 行，顶层符号 2，导入语句 1。
329	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/json_utils.py	移除零引用数字格式化辅助函数 3 项。
330	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/llm_request_logger.py	已逐文件读取并完成首轮复核；py 文件 192 行，顶层符号 2，导入语句 6。
331	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/llm_tool.py	第十一轮复核：移除零引用无效导入 LLMRequestLogger、fix_base_url。
332	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/prompt_helpers.py	已逐文件读取并完成首轮复核；py 文件 62 行，顶层符号 5，导入语句 3。
333	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/prompt_include.py	移除零引用数据类 PromptFrontmatter。
334	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/rag_helpers.py	已逐文件读取并完成首轮复核；py 文件 48 行，顶层符号 2，导入语句 1。
335	backend	code	reviewed-dead-code-cleaned	edited	backend/app/utils/sse_helpers.py	第十六轮复核：移除零调用函数 sse_generator_error_handler()、track_saved_items()、SSEProgressTracker，以及随之失效的 wraps、TypeVar、T。
336	backend	code	reviewed-dead-code-removed	deleted	backend/app/utils/text_utils.py	第十六轮复核：整文件零引用，删除未接入的文本截断工具文件（truncate、truncate_preview、truncate_middle、mask_sensitive）。
337	backend	code	reviewed-no-confirmed-dead-code	checked	backend/app/utils/writer_helpers.py	已逐文件读取并完成首轮复核；py 文件 72 行，顶层符号 2，导入语句 1。
338	backend	text	reviewed-noncode	checked	backend/install.bat	文本/配置文件，已逐文件读取，55 行，不涉及死代码。
339	backend	text	reviewed-noncode	checked	backend/prompts/_partials/json_only_return_object.md	文本/配置文件，已逐文件读取，2 行，不涉及死代码。
340	backend	text	reviewed-noncode	checked	backend/prompts/_partials/json_only_rule.md	文本/配置文件，已逐文件读取，2 行，不涉及死代码。
341	backend	text	reviewed-noncode	checked	backend/prompts/_registry.yaml	文本/配置文件，已逐文件读取，491 行，不涉及死代码。
342	backend	text	reviewed-noncode	checked	backend/prompts/coding/architecture_design.md	文本/配置文件，已逐文件读取，211 行，不涉及死代码。
343	backend	text	reviewed-noncode	checked	backend/prompts/coding/context_compression.md	文本/配置文件，已逐文件读取，52 行，不涉及死代码。
344	backend	text	reviewed-noncode	checked	backend/prompts/coding/directory_planning_agent.md	文本/配置文件，已逐文件读取，262 行，不涉及死代码。
345	backend	text	reviewed-noncode	checked	backend/prompts/coding/directory_structure_generation.md	文本/配置文件，已逐文件读取，194 行，不涉及死代码。
346	backend	text	reviewed-noncode	checked	backend/prompts/coding/file_description_generation.md	文本/配置文件，已逐文件读取，59 行，不涉及死代码。
347	backend	text	reviewed-noncode	checked	backend/prompts/coding/file_prompt_generation.md	文本/配置文件，已逐文件读取，186 行，不涉及死代码。
348	backend	text	reviewed-noncode	checked	backend/prompts/coding/file_review_generation.md	文本/配置文件，已逐文件读取，234 行，不涉及死代码。
349	backend	text	reviewed-noncode	checked	backend/prompts/coding/modules_batch_design.md	文本/配置文件，已逐文件读取，144 行，不涉及死代码。
350	backend	text	reviewed-noncode	checked	backend/prompts/coding/requirement_analysis.md	文本/配置文件，已逐文件读取，140 行，不涉及死代码。
351	backend	text	reviewed-noncode	checked	backend/prompts/coding/system_design.md	文本/配置文件，已逐文件读取，124 行，不涉及死代码。
352	backend	text	reviewed-noncode	checked	backend/prompts/novel/01_inspiration/inspiration.md	文本/配置文件，已逐文件读取，241 行，不涉及死代码。
353	backend	text	reviewed-noncode	checked	backend/prompts/novel/02_blueprint/avatar_generation.md	文本/配置文件，已逐文件读取，351 行，不涉及死代码。
354	backend	text	reviewed-noncode	checked	backend/prompts/novel/02_blueprint/blueprint.md	文本/配置文件，已逐文件读取，259 行，不涉及死代码。
355	backend	text	reviewed-noncode	checked	backend/prompts/novel/02_blueprint/reverse_blueprint.md	文本/配置文件，已逐文件读取，264 行，不涉及死代码。
356	backend	text	reviewed-noncode	checked	backend/prompts/novel/03_outline/outline.md	文本/配置文件，已逐文件读取，282 行，不涉及死代码。
357	backend	text	reviewed-noncode	checked	backend/prompts/novel/03_outline/part_chapters.md	文本/配置文件，已逐文件读取，137 行，不涉及死代码。
358	backend	text	reviewed-noncode	checked	backend/prompts/novel/03_outline/part_outline.md	文本/配置文件，已逐文件读取，254 行，不涉及死代码。
359	backend	text	reviewed-noncode	checked	backend/prompts/novel/03_outline/part_outline_single.md	文本/配置文件，已逐文件读取，166 行，不涉及死代码。
360	backend	text	reviewed-noncode	checked	backend/prompts/novel/03_outline/reverse_outline.md	文本/配置文件，已逐文件读取，130 行，不涉及死代码。
361	backend	text	reviewed-noncode	checked	backend/prompts/novel/03_outline/reverse_part_outline.md	文本/配置文件，已逐文件读取，174 行，不涉及死代码。
362	backend	text	reviewed-noncode	checked	backend/prompts/novel/04_writing/chapter_summary_batch.md	文本/配置文件，已逐文件读取，124 行，不涉及死代码。
363	backend	text	reviewed-noncode	checked	backend/prompts/novel/04_writing/chapter_summary_single.md	文本/配置文件，已逐文件读取，112 行，不涉及死代码。
364	backend	text	reviewed-noncode	checked	backend/prompts/novel/04_writing/extraction.md	文本/配置文件，已逐文件读取，118 行，不涉及死代码。
365	backend	text	reviewed-noncode	checked	backend/prompts/novel/04_writing/writing.md	文本/配置文件，已逐文件读取，117 行，不涉及死代码。
366	backend	text	reviewed-noncode	checked	backend/prompts/novel/05_analysis/chapter_analysis.md	文本/配置文件，已逐文件读取，192 行，不涉及死代码。
367	backend	text	reviewed-noncode	checked	backend/prompts/novel/05_analysis/coherence_check.md	文本/配置文件，已逐文件读取，153 行，不涉及死代码。
368	backend	text	reviewed-noncode	checked	backend/prompts/novel/05_analysis/content_optimization_agent.md	文本/配置文件，已逐文件读取，218 行，不涉及死代码。
369	backend	text	reviewed-noncode	checked	backend/prompts/novel/05_analysis/evaluation.md	文本/配置文件，已逐文件读取，205 行，不涉及死代码。
370	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_extraction_step1.md	文本/配置文件，已逐文件读取，60 行，不涉及死代码。
371	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_extraction_step2.md	文本/配置文件，已逐文件读取，146 行，不涉及死代码。
372	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_extraction_step3.md	文本/配置文件，已逐文件读取，50 行，不涉及死代码。
373	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_extraction_step4.md	文本/配置文件，已逐文件读取，55 行，不涉及死代码。
374	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_page_planning.md	文本/配置文件，已逐文件读取，126 行，不涉及死代码。
375	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_page_prompt_generation.md	文本/配置文件，已逐文件读取，103 行，不涉及死代码。
376	backend	text	reviewed-noncode	checked	backend/prompts/novel/06_manga/manga_storyboard_design.md	文本/配置文件，已逐文件读取，346 行，不涉及死代码。
377	backend	text	reviewed-noncode	checked	backend/prompts/novel/07_protagonist/implicit_classification.md	文本/配置文件，已逐文件读取，108 行，不涉及死代码。
378	backend	text	reviewed-noncode	checked	backend/prompts/novel/07_protagonist/implicit_update.md	文本/配置文件，已逐文件读取，109 行，不涉及死代码。
379	backend	text	reviewed-noncode	checked	backend/prompts/novel/07_protagonist/protagonist_analysis.md	文本/配置文件，已逐文件读取，139 行，不涉及死代码。
380	backend	text	reviewed-noncode	checked	backend/requirements.txt	文本/配置文件，已逐文件读取，26 行，不涉及死代码。
381	backend	code	reviewed-no-confirmed-dead-code	checked	backend/run_server.py	已逐文件读取并完成首轮复核；py 文件 62 行，顶层符号 1，导入语句 3。
382	backend	code	reviewed-no-confirmed-dead-code	checked	backend/scripts/__init__.py	已逐文件读取并完成首轮复核；py 文件 3 行，顶层符号 0，导入语句 0。
383	backend	code	reviewed-dead-code-cleaned	edited	backend/scripts/fix_real_summary.py	第四十四轮复核：移除零引用无效导入 selectinload。
384	backend	code	reviewed-no-confirmed-dead-code	checked	backend/scripts/migrate_add_avatar.py	已逐文件读取并完成首轮复核；py 文件 79 行，顶层符号 3，导入语句 3。
385	backend	code	reviewed-no-confirmed-dead-code	checked	backend/scripts/migrate_add_layout_info.py	已逐文件读取并完成首轮复核；py 文件 111 行，顶层符号 2，导入语句 2。
386	backend	code	reviewed-no-confirmed-dead-code	checked	backend/scripts/smoke_local_embedding.py	已逐文件读取并完成首轮复核；py 文件 101 行，顶层符号 2，导入语句 6。
387	backend	text	reviewed-noncode	checked	backend/start.bat	文本/配置文件，已逐文件读取，90 行，不涉及死代码。
388	backend	code	reviewed-dead-code-cleaned	edited	backend/startup/__init__.py	第四十一轮复核：仅保留 setup_env.py 仍在使用的启动接口，移除 15 个零包级引用的历史转发导出。
389	backend	code	reviewed-dead-code-cleaned	edited	backend/startup/animation.py	第四十三轮复核：移除零引用无效导入 BASE_DIR。
390	backend	code	reviewed-no-confirmed-dead-code	checked	backend/startup/animation_config.py	已逐文件读取并完成首轮复核；py 文件 42 行，顶层符号 1，导入语句 0。
391	backend	code	reviewed-no-confirmed-dead-code	checked	backend/startup/config.py	已逐文件读取并完成首轮复核；py 文件 113 行，顶层符号 2，导入语句 3。
392	backend	code	reviewed-dead-code-cleaned	edited	backend/startup/installer.py	第四十三轮复核：移除零引用无效导入 Set、BACKEND_DIR、FRONTEND_DIR。
393	backend	code	reviewed-no-confirmed-dead-code	checked	backend/startup/logging_setup.py	已逐文件读取并完成首轮复核；py 文件 77 行，顶层符号 2，导入语句 4。
394	backend	code	reviewed-dead-code-cleaned	edited	backend/startup/port_utils.py	第四十三轮复核：移除零引用无效导入 logger。
395	backend	code	reviewed-dead-code-cleaned	edited	backend/startup/uv_manager.py	第四十三轮复核：移除零引用无效导入 logger。
396	deploy	text	reviewed-noncode	checked	deploy/.env.example	文本/配置文件，已逐文件读取，28 行，不涉及死代码。
397	deploy	text	reviewed-noncode	checked	deploy/Dockerfile.backend	文本/配置文件，已逐文件读取，26 行，不涉及死代码。
398	deploy	text	reviewed-noncode	checked	deploy/Dockerfile.web	文本/配置文件，已逐文件读取，21 行，不涉及死代码。
399	deploy	text	reviewed-noncode	checked	deploy/README.md	文本/配置文件，已逐文件读取，287 行，不涉及死代码。
